Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C14, C15, C16, C17, C8",0603,6,4.7uF 10V,C1705
C11,0603,1,47n 16V,C2762284
"C12, C13",0603,2,100p 16V,C1705
"C18, C7, C9",0603,3,100nF 10V,C519438
D1,SOT-23,1,NUP2105L,C284104
"D2, D3, D4",0603,3,LED,C72044
J1,VALCON_CSP-USC16-TR,1,CSP-USC16-TR,C2988369
J2,WJ15EDGRC-3.81-3P,1,Screw_Terminal_01x03,C8406
J3,programming_header,1,Conn_01x04,xxxxx
J4,JST_B2B-PH-SM4-TB(LF)(SN),1,Conn_01x02,C265284
"R10, R7, R8, R9",0603,4,1K74,C227660
"R3, R4",0603,2,10K,C98220
"R5, R6",0603,2,60.4R,C237752
S1,DSIC02LSGET,1,DSIC02LSGET,C54949
TAC1,boot_button,1,tactile_switch,C5117870
U1,QFP50P900X900X160-48N,1,STM32F072C8T6,C80488
U3,SOT-23-5,1,RT9013,C59969
U4,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP2551T-I/SN,C49558
U6,CHOKE C2932174,1,PSCIAQ4532-101Z,C2932174
